,Code,Area_name,crime_rate,population_density,house_price,earning_below_LLW,employment_score
0,E09000002,Barking and Dagenham,0.009688396829884493,-0.13189643010749846,-0.528611605274293,-0.09962933655428942,0.8325582458656282
1,E09000003,Barnet,-0.36090556130400075,-0.5972200108549204,0.08057554584827066,0.2329695553580705,-0.6725386250185257
2,E09000004,Bexley,-0.5447242507850967,-0.37259314120019105,-0.4580032106632593,0.5244387944713981,-0.28221773794841903
3,E09000005,Brent,-0.10153528280333587,0.1218523864070122,-0.19481083326476145,0.8849642997618686,0.3920835493394713
4,E09000006,Bromley,-0.37287155222063345,-0.7393219466726195,-0.2003248168486488,0.05854977791246345,-0.520395768597075
5,E09000007,Camden,0.47829776108419514,0.3672281464598271,0.59120595729324,-0.5314655296922326,0.06629213376762164
6,E09000008,Croydon,-0.17506547946608478,-0.563244066193798,-0.6816666553213585,0.4215475240776832,0.098673480549505
7,E09000009,Ealing,-0.13848154059054463,-0.8591708541473019,-0.34282728149908687,0.3437035130452251,-0.08358023976863087
8,E09000010,Enfield,-0.29946019519769923,-0.4546268443060235,-0.38531653333416815,0.572415725163186,0.47697948661734424
9,E09000011,Greenwich,-0.10966384561826541,-0.35733830054713356,-0.60233942229899,0.014119239025571583,0.7051744800828783
10,E09000012,Hackney,0.23286386990378105,0.7476978997991015,0.1845838568742807,-0.13107020013599688,0.5791991636278256
11,E09000013,Hammersmith and Fulham,0.34768721151906845,0.42475342371045494,0.7688095388244001,-0.3267935591535212,0.028913572949893634
12,E09000014,Haringey,0.1648006495486007,0.4288255055252218,0.037892848361142456,0.5028688463383091,0.73118840741963
13,E09000015,Harrow,-0.5406389351370329,-0.21957730212586457,-0.059867511091438966,0.6559127939156698,-0.47506803523124824
14,E09000016,Havering,-0.32789779761405297,-0.7119263535245611,-0.5267954321516173,0.2747288130612293,-0.18070570941515468
15,E09000017,Hillingdon,-0.21762047665977,-0.6886816210613715,-0.29679307627109874,-0.4499763994329636,-0.43335212331490874
16,E09000018,Hounslow,-0.07748178554460242,-0.45171800876077317,-0.40332570434350457,-0.6822037417078066,-0.40233548747992226
17,E09000019,Islington,0.4921721273161888,0.6067936174382159,0.2941311917032166,-0.4397110298448254,0.3312237238323216
18,E09000020,Kensington and Chelsea,0.4406408668232501,0.299460662322181,0.8272998069954975,-0.16044998654425358,-0.0773936003166728
19,E09000021,Kingston upon Thames,-0.45610572444253145,-0.2576378254479624,-0.021835013078753077,-0.064966441479741,-0.8490541282595055
20,E09000022,Lambeth,0.32101447706502245,0.6559879639874863,0.10798834540507178,-0.6113025399459284,0.28509159673788026
21,E09000023,Lewisham,-0.04871615603184556,0.2957569346885744,-0.361719816134707,-0.3919474283373863,0.791006042808955
22,E09000024,Merton,-0.40370550212011497,-0.2294109234380623,-0.02982739050025144,0.4880927613402114,-0.7384228320335676
23,E09000025,Newham,0.07753735994856246,0.4045085412873043,-0.5091461563861622,0.5298143169257843,0.5389135170465541
24,E09000026,Redbridge,-0.35914715869866115,-0.3830280439697718,-0.459382031031372,0.6397193417431378,-0.322537051044663
25,E09000027,Richmond upon Thames,-0.4657651375744801,-0.303633603149647,0.3855733910347084,-0.24871630705889272,-0.6930676953859347
26,E09000028,Southwark,0.23912959759918834,0.4966551961625409,0.15853976229631617,-0.751427087888493,0.32614893382509297
27,E09000029,Sutton,-0.5193154176296567,-0.3160216676310575,-0.3650595321210738,0.49696397545751864,-0.5002001076617459
28,E09000030,Tower Hamlets,0.17567067801446595,0.6750688852941484,0.04234577543684751,-0.6192494947876316,0.3579926137528105
29,E09000031,Waltham Forest,-0.10716173466188171,0.041744788401037805,-0.16709732667032554,0.9000989701621153,0.3855827571330689
30,E09000032,Wandsworth,-0.18118082104145217,0.36021314698520057,0.5058642613449086,-0.33538668724603277,-0.6848628460778592
31,E09000033,Westminster,0.8346349167640938,0.1917418807954285,0.4743224325500316,-0.2037629991305749,0.010884715538765787
